id,Name,Winner(1 or 2),,
1,Justin Jason,
2,Carmelo Crichton,

1,sean,
2,Mariah Messerly,

1,Sam,
2,Blaine,

1,Retha Rodriquez,
2,Migdalia Marte,

1,Barbar Blandon,
2,Andrew,

1,Carmon Crothers,
2,Melda Marchi,

1,Minta Mcentyre,
2,AJ,

1,John,
2,zach,

1,Idella Isley,
2,Ethan,

1,oliver,
2,Margart Mccright,

1,Carman Chaloux,
2,Jackqueline Jacoby,

1,Jame Jeffrey,
2,Jennette Joynes,

1,Wonda Walley,
2,Anikah,

1,Jenelle Jines,
2,Hortensia Hulett,

1,Yolanda Yingling,
2,Eloise Epperson,

1,Soph,
2,Jen,

1,Carman Chaloux,
2,Jenelle Jines,

1,Wonda Walley,
2,Carmon Crothers,

1,Mariah Messerly,
2,Blaine,

1,Ethan,
2,Justin Jason,

1,zach,
2,Eloise Epperson,

1,Jennette Joynes,
2,Carmelo Crichton,

1,Migdalia Marte,
2,Barbar Blandon,

1,Idella Isley,
2,Melda Marchi,

1,Margart Mccright,
2,Minta Mcentyre,

1,Jackqueline Jacoby,
2,oliver,

1,Soph,
2,Anikah,

1,Jame Jeffrey,
2,Hortensia Hulett,

1,Retha Rodriquez,
2,sean,

1,Andrew,
2,Jen,

1,John,
2,Yolanda Yingling,

1,Sam,
2,AJ,

1,Idella Isley,
2,Retha Rodriquez,

1,Minta Mcentyre,
2,Yolanda Yingling,

1,Melda Marchi,
2,Andrew,

1,Barbar Blandon,
2,AJ,

1,Migdalia Marte,
2,Carman Chaloux,

1,Wonda Walley,
2,zach,

1,Hortensia Hulett,
2,Anikah,

1,Soph,
2,sean,

1,Jen,
2,Jackqueline Jacoby,

1,Carmelo Crichton,
2,Jenelle Jines,

1,John,
2,Jame Jeffrey,

1,Margart Mccright,
2,Mariah Messerly,

1,Jennette Joynes,
2,Justin Jason,

1,Eloise Epperson,
2,Carmon Crothers,

1,Ethan,
2,Blaine,

1,Sam,
2,oliver,

